book_id,author_id,book_genre,reader_id,num_pages,book_rating,publisher_id,publish_year,book_price,text_lang
1421,96,9,1949,246,3,16,2010,152,4
2201,26,6,13310,317,4,18,2002,128,4
633,204,10,23351,303,5,20,2018,162,1
382,303,8,11389,638,9,6,2011,138,2
564,433,5,12396,279,8,29,2006,82,4
2539,421,1,26579,215,5,49,2006,160,5
513,198,9,6540,233,2,24,2012,15,7
775,87,1,12774,408,2,48,2002,169,1
2342,339,4,8338,205,6,7,2017,78,1
2203,187,8,31,465,8,40,2006,134,6
2870,225,10,26596,360,8,30,2021,196,7
2989,414,3,10465,311,1,44,2010,11,3
117,246,1,7217,292,8,35,2018,88,5
1913,217,4,23268,263,8,37,2007,32,3
2434,425,9,10800,527,1,18,2007,102,6
2223,367,3,1302,463,3,40,2018,11,7
1303,15,4,11651,399,2,8,2017,94,7
2499,128,9,21828,690,5,3,2018,171,2
2331,433,7,1435,343,6,27,2001,70,5
2718,231,2,17172,445,5,25,2000,44,4
1869,1,4,26356,143,1,33,2008,31,2
1494,433,2,19489,98,4,30,2008,141,1
2529,32,2,23837,156,8,43,2015,13,2
2379,306,5,8725,463,1,24,2002,93,2
250,265,3,20008,662,3,30,2007,17,4
427,256,3,19951,651,1,3,2011,123,6
921,402,9,11993,486,3,1,2003,176,1
408,338,10,6063,444,8,17,2009,48,1
149,406,7,17959,522,3,23,2019,71,1
422,207,1,5663,152,1,17,2020,190,4
650,268,7,14859,648,9,47,2020,163,1
1337,372,3,23399,343,1,32,2020,79,1
1289,365,5,18197,400,3,44,2019,144,2
2637,381,1,22833,690,1,46,2017,196,6
2037,140,1,9703,384,2,3,2001,193,6
2255,394,7,10855,366,5,17,2004,180,5
1013,255,6,23832,578,2,20,2007,61,5
11,301,9,18676,105,6,45,2012,181,1
1495,71,7,26831,618,7,50,2003,108,3
278,109,9,22842,144,10,15,2003,52,4
886,442,6,20555,532,8,24,2006,1,6
2124,252,3,27287,231,9,40,2015,6,4
270,403,9,22784,578,5,16,2000,193,2
338,58,10,23423,268,8,45,2019,126,4
2185,301,10,21881,404,2,11,2002,83,4
2303,81,8,20223,211,8,43,2013,26,3
1185,265,7,19148,443,8,32,2009,83,2
1620,418,2,22424,146,7,34,2002,53,6
208,362,8,8346,215,9,36,2007,25,6
91,102,3,8632,353,6,18,2006,65,3
1699,216,10,18133,237,2,28,2004,79,1
936,40,4,15434,101,3,30,2002,3,2
401,14,8,22842,181,10,1,2008,16,3
220,286,3,901,410,3,8,2010,28,3
2144,1,6,25075,484,5,44,2008,28,6
2750,204,1,3090,372,5,44,2010,139,2
2825,201,5,23,276,8,2,2008,189,5
366,135,3,5525,406,1,10,2021,176,3
156,67,5,7003,644,5,10,2011,111,4
2020,445,9,2796,510,9,44,2000,145,5
2606,76,6,29453,262,4,14,2010,178,1
504,146,5,19695,170,10,12,2012,200,6
2069,404,7,2205,170,8,32,2015,27,7
2301,100,4,11687,522,5,44,2011,187,2
2310,363,9,26880,228,10,22,2011,63,2
348,135,9,18557,580,1,41,2009,26,1
973,106,7,5318,355,10,2,2007,102,3
2952,300,1,16301,79,1,18,2013,136,5
701,180,5,15527,537,4,20,2000,180,3
1384,51,4,16823,81,4,42,2014,104,7
527,356,8,18558,75,4,4,2011,121,5
648,10,4,21917,98,9,32,2008,185,1
363,350,10,5247,131,7,15,2008,80,1
1184,7,4,18697,122,10,49,2016,52,4
2518,368,10,8244,608,4,28,2002,2,3
76,81,7,7575,535,3,28,2003,71,5
2205,89,2,2634,408,2,26,2010,96,3
2387,302,3,15741,481,1,21,2001,125,6
2987,429,5,27594,445,1,14,2002,95,4
83,335,9,13793,372,4,1,2016,52,7
704,395,8,6647,505,5,35,2018,103,4
1434,87,9,19297,554,9,17,2000,123,2
662,100,3,17508,373,3,33,2006,30,4
2878,314,9,9107,275,2,43,2011,101,6
2247,241,8,24301,288,2,36,2002,5,1
1580,72,6,23740,403,7,45,2004,173,4
1905,440,9,6274,218,8,37,2008,174,3
643,134,4,21600,355,1,28,2007,109,5
393,179,6,4950,128,10,19,2000,15,7
247,95,8,29430,126,3,35,2007,13,6
1528,106,2,16609,315,7,17,2016,191,6
2745,366,9,11084,521,9,35,2018,119,2
2421,140,6,3362,311,10,4,2015,99,5
2701,441,4,20463,215,7,28,2019,62,4
2693,438,6,17639,622,10,19,2016,176,7
1064,171,3,10550,691,5,6,2020,164,2
1638,235,5,8433,158,2,39,2016,160,4
2354,255,2,7018,674,2,8,2006,6,6
1396,312,1,9288,513,9,50,2001,149,4
2128,397,10,7552,405,4,11,2012,89,7
1587,264,8,20457,509,9,33,2002,62,1
1716,130,2,3431,503,8,32,2016,195,1
1034,97,6,13307,94,2,46,2004,68,7
2897,147,9,16439,103,7,29,2005,123,1
1894,291,7,15547,217,4,49,2020,95,7
1321,5,10,20109,314,7,36,2002,139,1
842,341,6,3518,328,9,41,2004,177,4
865,443,5,19212,265,5,22,2014,181,6
2549,50,10,888,277,2,37,2002,87,3
581,293,6,27103,552,9,15,2002,178,1
828,76,2,7882,334,9,3,2013,199,7
1245,274,8,9338,200,6,21,2006,42,2
2489,122,10,2566,699,10,29,2003,177,6
571,112,1,1920,381,9,30,2008,50,5
1417,294,6,22334,368,2,31,2000,115,1
2864,10,3,17324,326,2,41,2014,81,7
1238,277,4,3968,346,8,14,2019,62,5
236,250,5,29618,348,7,48,2011,115,3
1579,383,7,1287,510,1,35,2005,160,5
385,274,8,21693,166,4,9,2000,78,4
150,294,4,13905,254,6,42,2005,145,1
1306,101,7,26654,609,8,24,2010,57,2
2384,201,6,27097,147,9,43,2010,83,5
633,230,1,16645,154,9,25,2009,11,2
808,85,5,6854,648,7,38,2011,66,4
109,420,3,13315,169,2,5,2000,29,5
524,396,10,6649,666,5,3,2016,175,3
1577,349,7,27076,369,2,44,2009,75,1
1320,326,7,19695,419,9,7,2016,74,1
2012,310,8,22810,638,6,17,2018,181,5
1579,116,3,29023,100,9,41,2019,26,4
2082,107,5,29669,328,1,40,2018,1,1
2130,350,6,7129,507,3,18,2021,42,5
1315,11,3,23689,282,7,37,2021,62,6
2655,415,10,10447,494,9,6,2004,190,7
967,52,2,29158,206,7,2,2011,41,6
2958,361,5,12383,84,7,34,2017,33,4
2821,415,4,3562,328,1,48,2004,187,2
693,213,4,9252,543,10,48,2001,140,1
2464,185,8,9602,338,8,27,2020,126,3
322,385,7,16670,339,5,31,2020,30,1
2933,214,4,920,360,10,29,2009,185,5
377,161,5,5615,356,6,32,2003,61,1
1768,120,5,24697,83,5,31,2014,90,2
2126,66,8,28876,422,8,1,2009,92,2
833,393,3,6336,377,3,22,2015,55,5
2353,85,8,2320,247,9,33,2012,183,4
1920,77,6,2283,484,9,27,2021,116,3
990,306,5,29546,216,9,30,2013,20,5
1688,177,10,27405,190,8,23,2002,83,6
676,179,6,29148,168,10,11,2008,100,6
1515,178,6,7367,505,7,18,2017,76,5
1232,329,3,12906,205,4,47,2011,198,6
1449,288,5,6113,377,6,2,2002,157,1
9,302,1,18657,235,1,42,2015,52,6
1028,195,5,15059,332,8,46,2004,131,3
1871,365,6,9401,269,10,2,2014,139,1
1958,292,8,24635,675,9,22,2019,184,6
1739,373,6,12337,693,3,6,2004,70,6
673,314,10,14782,395,6,18,2012,172,2
2172,430,2,12186,109,9,37,2021,21,3
2637,84,9,12945,494,9,7,2020,110,1
1510,251,8,5256,254,5,29,2001,142,7
2145,110,3,17043,527,6,48,2017,8,1
836,349,2,22804,223,2,16,2017,171,6
1145,408,6,8535,678,4,3,2015,164,2
164,311,8,22814,82,6,44,2013,177,2
75,140,7,5391,469,7,21,2018,189,5
2745,446,1,29114,274,4,21,2008,120,6
1904,188,7,7096,251,6,29,2020,76,6
1628,213,4,8077,115,2,4,2009,165,3
1094,26,10,9565,160,8,29,2012,111,7
1707,345,2,10120,422,2,28,2008,67,7
2563,281,7,25632,392,2,36,2015,78,7
2173,104,9,5603,613,3,49,2005,67,2
424,230,3,15385,392,1,4,2007,125,3
957,286,4,8426,683,6,40,2006,187,7
2723,390,6,18663,378,5,43,2017,130,1
2843,164,10,22524,623,1,8,2016,114,6
529,291,10,13609,627,3,46,2013,198,2
1634,433,3,2030,150,6,49,2013,172,7
1519,362,4,16774,120,7,46,2008,140,5
1414,300,7,13244,254,1,6,2002,52,4
398,33,1,11749,302,1,37,2000,93,3
496,27,8,9696,177,4,43,2004,13,7
243,228,5,19127,628,2,42,2009,184,1
1445,189,10,5312,421,2,13,2020,135,4
2293,340,3,412,260,7,40,2012,182,7
1737,201,1,13236,114,7,39,2011,199,6
1433,29,6,3275,687,4,34,2002,178,4
2201,215,10,15595,627,2,28,2015,84,1
625,335,1,3924,374,5,39,2005,22,6
2214,72,7,5653,571,7,34,2019,19,3
1906,165,10,17863,440,10,28,2017,43,1
1523,66,8,6364,409,7,2,2021,179,7
1808,160,1,27429,635,7,27,2004,57,5
901,270,4,22850,209,5,48,2015,106,7
1205,216,3,14487,123,7,40,2002,127,6
2050,235,1,2640,316,5,29,2020,48,3
2059,448,4,29894,361,3,19,2004,170,6
2425,83,1,29890,545,8,34,2015,140,3
1976,324,2,12388,378,10,34,2013,1,5
2469,81,2,25436,397,1,32,2005,126,1
1782,108,2,5267,81,6,40,2021,128,4
2489,185,9,10437,529,3,36,2011,79,1
2864,88,1,1111,458,6,49,2005,111,5
1077,226,8,27175,224,9,18,2016,86,6
585,132,2,27606,149,9,16,2000,94,3
2884,91,3,10286,652,6,42,2007,158,1
982,78,5,29006,498,9,37,2018,7,7
2773,351,7,22753,169,5,12,2000,59,1
1030,118,2,29682,88,6,29,2008,151,6
2912,220,2,28480,351,5,20,2005,40,5
986,220,3,10436,147,5,13,2016,188,5
1831,49,9,1108,667,9,28,2012,161,5
1565,322,1,13370,651,2,34,2005,41,2
1713,48,2,13078,604,9,43,2004,129,3
2054,339,1,22853,574,1,19,2000,64,2
2876,17,2,1302,667,3,4,2015,135,2
1020,7,4,619,253,4,4,2021,130,3
2940,124,7,14750,360,7,11,2008,167,7
425,54,9,27495,291,1,30,2021,53,5
826,255,2,25591,470,8,42,2006,76,5
421,192,5,9108,546,6,45,2008,181,3
199,396,10,13641,370,3,45,2015,15,2
1617,335,1,17036,384,8,26,2012,61,5
2424,100,4,18692,181,9,48,2017,11,3
1963,437,7,124,351,4,8,2010,49,1
1059,45,4,15244,580,2,37,2017,46,2
1780,219,5,12210,282,7,46,2019,38,7
1014,240,4,76,137,9,5,2015,83,5
903,262,4,18767,158,6,35,2007,9,1
1221,143,9,10412,648,2,17,2015,14,5
847,105,3,18249,340,1,4,2003,17,2
298,352,7,27716,513,10,11,2016,137,4
1742,303,5,21183,321,7,47,2001,89,5
105,165,2,10903,542,5,4,2000,84,3
2439,186,3,11635,623,7,17,2005,46,5
542,443,5,6997,655,8,37,2010,166,7
800,397,7,24847,622,9,47,2006,96,1
2845,357,6,24025,139,1,39,2006,31,5
2412,287,9,15836,477,1,21,2001,49,6
2343,68,6,20603,271,5,6,2003,187,7
175,330,2,17762,89,10,17,2015,24,3
2427,193,10,20805,685,8,10,2013,50,1
2989,321,8,29401,264,5,9,2003,58,7
2741,346,7,20272,687,2,41,2000,53,5
2232,305,2,5378,550,9,46,2000,149,5
2569,308,2,29664,564,2,5,2015,37,3
2474,61,8,10906,678,3,42,2015,49,4
687,149,1,27610,646,8,35,2021,162,5
2474,11,10,10715,363,10,1,2021,23,2
318,377,4,15359,533,9,23,2007,176,5
2733,3,8,1391,301,8,27,2020,159,7
1154,281,5,16598,409,8,38,2008,179,5
2275,167,2,9629,199,3,38,2005,193,4
2106,221,1,6255,634,3,29,2003,132,4
2038,44,5,29204,201,9,22,2002,112,7
99,247,5,26618,602,5,47,2017,40,3
2344,334,6,6028,191,8,30,2006,117,1
1796,396,6,4129,175,2,4,2004,184,5
1142,340,9,4995,115,6,18,2004,98,3
553,197,6,14545,632,6,41,2010,191,5
846,314,10,1323,224,6,29,2021,133,2
873,86,3,14627,510,1,13,2000,20,4
1184,449,1,7505,634,2,18,2000,35,3
1902,334,4,26857,361,8,34,2002,84,7
2315,128,10,23619,513,6,7,2015,125,4
2577,418,5,5972,668,4,44,2012,132,7
118,164,3,18434,160,8,21,2004,36,6
1926,396,9,9235,330,8,8,2016,69,3
2871,183,1,858,547,6,14,2004,100,7
645,89,1,17272,637,10,9,2007,127,3
428,415,10,17293,504,5,28,2021,48,3
1952,229,8,24789,262,6,15,2000,90,6
1196,26,8,16872,346,9,25,2010,3,2
2119,432,5,6395,309,9,22,2013,111,3
2281,363,4,17925,148,2,29,2014,180,5
2377,263,5,29026,95,8,19,2018,192,5
322,340,3,24588,192,8,37,2002,138,3
785,332,8,5514,588,6,26,2005,167,2
1654,290,1,5809,236,8,44,2020,181,1
998,273,2,18077,510,3,32,2007,2,3
2176,71,3,14354,115,4,24,2019,69,4
1292,363,6,28461,190,6,12,2014,79,6
2319,225,9,13376,280,2,11,2012,108,4
1345,373,4,19699,645,10,43,2021,17,2
1146,289,4,16204,101,3,26,2001,40,4
727,371,2,6151,515,7,38,2009,164,4
457,66,7,15529,462,2,30,2001,1,4
1471,160,7,29873,180,7,47,2004,183,2
448,266,10,7058,389,5,41,2012,102,7
482,191,8,23474,108,10,40,2017,80,3
1402,199,4,9579,617,3,17,2011,59,5
1663,176,5,3144,459,9,3,2006,195,5
1530,16,8,11764,125,7,39,2004,45,6
1258,369,9,16639,256,6,44,2018,22,3
2775,5,3,25838,240,7,8,2000,29,6
1873,411,7,12109,472,8,47,2008,65,2
1386,365,3,20064,119,2,10,2011,195,6
2195,279,9,4816,286,5,31,2009,185,7
447,147,6,2064,376,8,49,2003,185,1
2418,415,5,22537,651,10,4,2019,141,2
2747,304,4,19740,581,6,50,2021,168,1
420,123,9,27869,352,5,20,2017,132,3
2266,259,9,25410,607,4,36,2016,13,1
1441,199,2,28424,649,10,34,2014,179,1
893,140,8,3672,617,3,36,2000,77,7
569,428,9,19089,147,6,47,2015,36,5
1293,202,3,28790,638,2,40,2012,188,2
2215,8,2,21456,468,2,9,2013,44,3
477,306,3,976,207,1,8,2008,172,7
416,47,3,3166,504,8,11,2004,173,1
963,345,7,17197,272,6,20,2001,123,4
408,227,5,21659,202,1,6,2013,101,2
1041,23,4,4044,328,3,47,2015,65,5
928,89,5,9952,242,5,29,2018,163,2
2197,188,2,22147,332,3,39,2017,146,6
607,311,3,19622,240,2,41,2005,150,7
1050,219,3,17402,520,9,27,2020,175,4
1505,299,3,12058,437,5,34,2013,48,7
1452,53,2,6159,119,9,44,2007,78,3
323,396,1,12960,77,7,22,2006,38,2
2735,390,9,10019,451,9,44,2006,71,4
512,394,2,9286,95,9,1,2009,41,2
2750,305,2,611,437,3,4,2006,31,5
1109,402,2,26856,478,6,16,2017,24,7
366,396,3,2244,488,10,13,2000,92,2
2143,187,4,17233,108,4,7,2019,139,7
1321,156,5,12777,107,9,38,2019,199,2
2828,293,9,3826,548,9,13,2004,39,1
920,97,3,18681,169,3,47,2012,98,3
1597,393,9,857,685,1,36,2021,89,5
975,365,8,18709,518,4,32,2001,182,7
1347,310,7,8308,646,3,46,2012,170,6
2238,48,2,11871,189,5,30,2013,109,1
2352,422,10,29016,83,8,1,2021,151,3
1512,108,1,19811,163,6,40,2020,82,6
2497,226,6,13590,336,2,31,2011,123,3
1241,258,10,8919,325,8,44,2004,34,5
2205,232,3,28735,367,4,9,2019,112,7
1956,92,8,24063,523,8,2,2003,1,3
2137,29,1,25566,346,1,35,2020,173,6
2539,214,2,438,311,3,25,2017,106,7
789,310,6,942,92,5,19,2010,94,3
2158,333,6,20383,532,7,23,2021,163,3
3000,74,5,25956,192,6,17,2013,102,7
1981,448,10,26706,324,8,9,2016,27,2
1188,43,2,20151,380,5,23,2001,134,3
403,94,8,5730,356,4,13,2021,183,2
2107,249,1,824,448,8,34,2017,2,3
554,432,4,6730,144,1,24,2017,183,1
2556,216,3,26432,425,1,7,2002,51,3
120,354,6,8465,280,2,21,2003,75,6
2339,112,2,15966,571,5,7,2019,180,6
603,6,6,23352,552,6,31,2011,81,3
1865,97,5,11970,154,2,45,2020,42,1
1561,87,4,16768,687,8,30,2012,26,1
1114,40,7,11085,645,4,2,2018,3,6
